"schema_name","table_name"
"imp_kfm_ul_26.04.2024","historyAuthCapital"
"imp_kfm_ul_26.04.2024","historyClassificationInfo"
"imp_kfm_ul_26.04.2024","historyFoundersFl"
"imp_kfm_ul_26.04.2024","historyFoundersInfo"
"imp_kfm_ul_26.04.2024","historyFoundersUl"
"imp_kfm_ul_26.04.2024","historyHeadOrgInfo"
"imp_kfm_ul_26.04.2024","historyIdentificationAddInfo"
"imp_kfm_ul_26.04.2024","historyLeaderInfo"
"imp_kfm_ul_26.04.2024","historyLiquidationInfo"
"imp_kfm_ul_26.04.2024","identificationAddInfo"
"imp_kfm_ul_26.04.2024","identificationInfo"
"imp_kfm_ul_26.04.2024","leaderInfo"
"imp_kfm_ul_26.04.2024","mv_ul_dir_founder"
"imp_kfm_ul_26.04.2024","ul_founder_fl"
"imp_kfm_ul_26.04.2024","ul_founder_ul"
"imp_kfm_ul_26.04.2024","ul_leader"
"imp_kfm_ul_26.04.2024","ztFaces"
"imp_kfm_ul_old","ActualStat"
"imp_kfm_ul_old","AuthCapital"
"imp_kfm_ul_old","LIQUIDActualStat"
"imp_kfm_ul_old","LIQUIDAuthCapital"
"imp_kfm_ul_old","LIQUIDLiquidationInfo"
"imp_kfm_ul_old","LIQUIDactivities"
"imp_kfm_ul_old","LIQUIDactivitiesACT"
"imp_kfm_ul_old","LIQUIDaddress"
"imp_kfm_ul_old","LIQUIDclassificationInfo"
"imp_kfm_ul_old","LIQUIDfoundersFl"
"imp_kfm_ul_old","LIQUIDfoundersInfo"
"imp_kfm_ul_old","LIQUIDfoundersUl"
"imp_kfm_ul_old","LIQUIDheadOrgInfo"
"imp_kfm_ul_old","LIQUIDhistoryActivities"
"imp_kfm_ul_old","LIQUIDhistoryActivitiesACT"
"imp_kfm_ul_old","LIQUIDhistoryActualStat"
"imp_kfm_ul_old","LIQUIDhistoryAddress"
"imp_kfm_ul_old","LIQUIDhistoryAuthCapital"
"imp_kfm_ul_old","LIQUIDhistoryClassificationInfo"
"imp_kfm_ul_old","LIQUIDhistoryFoundersFl"
"imp_kfm_ul_old","LIQUIDhistoryFoundersInfo"
"imp_kfm_ul_old","LIQUIDhistoryFoundersUl"
"imp_kfm_ul_old","LIQUIDhistoryHeadOrgInfo"
"imp_kfm_ul_old","LIQUIDhistoryIdentificationAddInfo"
"imp_kfm_ul_old","LIQUIDhistoryLeaderInfo"
"imp_kfm_ul_old","LIQUIDhistoryLiquidationInfo"
"imp_kfm_ul_old","LIQUIDidentificationAddInfo"
"imp_kfm_ul_old","LIQUIDidentificationInfo"
